pos,name,country,venue,year,result,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
4,WEIGHTMAN Laura,GBR,rabat dl,2017,4:03.07,16,nan,47.5,nan,1:20.9,nan,1:54.0,nan,2:28.0,nan,3:01.0,nan,3:32.7,nan,4:03.07
5,AKKAOUI Malika,MAR,rabat dl,2017,4:03.36,16.2,nan,48,nan,1:21.2,nan,1:54.3,nan,2:28.5,nan,3:01.7,nan,3:33.0,nan,4:03.36
6,ROWBURY Shannon,USA,rabat dl,2017,4:04.73,15.9,nan,47.4,nan,1:20.6,nan,1:53.9,nan,2:28.2,nan,3:01.2,nan,3:33.2,nan,4:04.73
7,JEPKOSGEI Nelly,KEN,rabat dl,2017,4:04.93,16.2,nan,47.8,nan,1:20.9,nan,1:54.2,nan,2:28.1,nan,3:01.2,nan,3:33.0,nan,4:04.93
8,BUCKMAN Zoe,AUS,rabat dl,2017,4:04.93,16.5,nan,48.3,nan,1:21.4,nan,1:54.6,nan,2:28.6,nan,3:01.8,nan,3:33.6,nan,4:04.93
9,KIYENG Judith,KEN,rabat dl,2017,4:05.20,15.8,nan,47.7,nan,1:20.9,nan,1:54.1,nan,2:28.3,nan,3:01.3,nan,3:33.3,nan,4:05.20
1,HASSAN Sifan,NED,rome dl,2017,3:56.22,nan,nan,47.3,nan,nan,nan,1:51.8,nan,nan,nan,2:55.5,nan,nan,nan,3:56.22
2,CHEBET Winny,KEN,rome dl,2017,3:59.16,nan,nan,48.3,nan,nan,nan,1:52.9,nan,nan,nan,2:57.4,nan,nan,nan,3:59.16
3,KLOSTERHALFEN Konstanze,GER,rome dl,2017,3:59.30,nan,nan,47.6,nan,nan,nan,1:51.9,nan,nan,nan,2:55.6,nan,nan,nan,3:59.30
4,BAHTA Meraf,SWE,rome dl,2017,4:00.59,nan,nan,48,nan,nan,nan,1:52.6,nan,nan,nan,2:57.0,nan,nan,nan,4:00.59
5,TSEGAY Gudaf,ETH,rome dl,2017,4:01.42,nan,nan,47.5,nan,nan,nan,1:52.0,nan,nan,nan,2:56.1,nan,nan,nan,4:01.42
6,CICHOCKA Angelika,POL,rome dl,2017,4:01.84,nan,nan,48.4,nan,nan,nan,1:53.6,nan,nan,nan,2:58.3,nan,nan,nan,4:01.84
7,SADO Besu,ETH,rome dl,2017,4:03.16,nan,nan,47.8,nan,nan,nan,1:52.3,nan,nan,nan,2:55.8,nan,nan,nan,4:03.16
8,KOSTER Maureen,NED,rome dl,2017,4:03.77,nan,nan,48.2,nan,nan,nan,1:53.1,nan,nan,nan,2:57.9,nan,nan,nan,4:03.77
9,ARAFI Rababe,MAR,rome dl,2017,4:04.25,nan,nan,48.3,nan,nan,nan,1:52.5,nan,nan,nan,2:57.7,nan,nan,nan,4:04.25
10,MAGEEAN Ciara,IRL,rome dl,2017,4:04.49,nan,nan,48.5,nan,nan,nan,1:53.3,nan,nan,nan,2:58.1,nan,nan,nan,4:04.49
11,STAFFORD Gabriela,CAN,rome dl,2017,4:04.87,nan,nan,48.6,nan,nan,nan,1:53.9,nan,nan,nan,2:58.8,nan,nan,nan,4:04.87
12,JEPKOSGEI Nelly,KEN,rome dl,2017,4:04.99,nan,nan,47.8,nan,nan,nan,1:52.1,nan,nan,nan,2:57.2,nan,nan,nan,4:04.99
13,ENNAOUI Sofia,POL,rome dl,2017,4:05.40,nan,nan,48,nan,nan,nan,1:52.8,nan,nan,nan,2:57.9,nan,nan,nan,4:05.40
1,CICHOCKA Angelika,POL,stockholm dl,2016,4:03.25,nan,nan,47.8,nan,nan,nan,1:54.1,nan,nan,nan,3:01.4,nan,nan,nan,4:03.25
2,BAHTA Meraf,SWE,stockholm dl,2016,4:04.37,nan,nan,47.9,nan,nan,nan,1:54.1,nan,nan,nan,3:01.7,nan,nan,nan,4:04.37
3,TSEGAY Gudaf,ETH,stockholm dl,2016,4:04.37,nan,nan,47.4,nan,nan,nan,1:53.8,nan,nan,nan,3:01.2,nan,nan,nan,4:04.37
